scenario,seed,regime,lr,retained_lr,rho,avg_prem,rows
base,0,tariff,75.29,82.22,0.3562,1505.0,84344
base,0,glm,63.51,57.66,0.6386,1784.0,84344
base,0,telem,63.55,57.37,0.6386,1783.0,84344
base,1,tariff,74.16,79.37,0.3577,1497.0,84057
base,1,glm,62.57,56.87,0.6362,1774.0,84057
base,1,telem,62.6,56.86,0.6362,1773.0,84057
base,2,tariff,74.04,81.06,0.355,1497.0,84207
base,2,glm,62.59,55.24,0.6362,1771.0,84207
base,2,telem,62.64,54.89,0.6362,1769.0,84207
freq_x1.22,0,tariff,89.19,99.09,0.381,1545.0,83375
freq_x1.22,0,glm,60.98,58.27,0.6811,2260.0,83375
freq_x1.22,0,telem,60.99,58.5,0.6811,2260.0,83375
freq_x1.22,1,tariff,89.03,97.01,0.3841,1533.0,82966
freq_x1.22,1,glm,60.32,57.79,0.6824,2263.0,82966
freq_x1.22,1,telem,60.33,57.69,0.6824,2262.0,82966
freq_x1.22,2,tariff,91.84,100.95,0.3827,1540.0,82908
freq_x1.22,2,glm,61.82,58.2,0.6853,2288.0,82908
freq_x1.22,2,telem,61.82,58.29,0.6854,2288.0,82908
freq_x1.49,0,tariff,108.23,119.66,0.4026,1590.0,81776
freq_x1.49,0,glm,59.48,57.97,0.7274,2893.0,81776
freq_x1.49,0,telem,59.53,58.46,0.7274,2891.0,81776
freq_x1.49,1,tariff,106.7,119.23,0.4016,1578.0,81793
freq_x1.49,1,glm,58.42,57.86,0.7271,2882.0,81793
freq_x1.49,1,telem,58.48,58.32,0.7271,2879.0,81793
freq_x1.49,2,tariff,105.79,116.96,0.4011,1591.0,81781
freq_x1.49,2,glm,57.53,55.27,0.7303,2926.0,81781
freq_x1.49,2,telem,57.59,55.41,0.7304,2923.0,81781
