scenario,seed,regime,lr,retained_lr,rho,avg_prem,rows
sev_x1.20,0,tariff,90.09,98.31,0.3562,1505.0,84344
sev_x1.20,0,glm,63.53,57.65,0.6386,2135.0,84344
sev_x1.20,0,telem,63.57,57.23,0.6386,2133.0,84344
sev_x1.20,1,tariff,88.64,94.82,0.3577,1497.0,84057
sev_x1.20,1,glm,62.51,56.85,0.6362,2122.0,84057
sev_x1.20,1,telem,62.54,56.91,0.6362,2121.0,84057
sev_x1.20,2,tariff,88.51,96.81,0.355,1497.0,84207
sev_x1.20,2,glm,62.55,55.2,0.6362,2119.0,84207
sev_x1.20,2,telem,62.6,54.89,0.6362,2117.0,84207
sev_x1.35,0,tariff,101.09,110.25,0.3562,1505.0,84344
sev_x1.35,0,glm,63.56,57.6,0.6386,2394.0,84344
sev_x1.35,0,telem,63.6,57.23,0.6386,2393.0,84344
sev_x1.35,1,tariff,99.36,106.23,0.3577,1497.0,84057
sev_x1.35,1,glm,62.48,56.89,0.6362,2380.0,84057
sev_x1.35,1,telem,62.51,56.95,0.6362,2379.0,84057
sev_x1.35,2,tariff,99.26,108.49,0.355,1497.0,84207
sev_x1.35,2,glm,62.54,55.2,0.6362,2376.0,84207
sev_x1.35,2,telem,62.59,54.94,0.6362,2374.0,84207
ev_sev_1.40,0,tariff,76.35,82.89,0.3562,1505.0,84344
ev_sev_1.40,0,glm,63.43,57.91,0.6386,1812.0,84344
ev_sev_1.40,0,telem,63.47,57.67,0.6386,1811.0,84344
ev_sev_1.40,1,tariff,75.31,80.16,0.3577,1497.0,84057
ev_sev_1.40,1,glm,62.51,56.41,0.6362,1803.0,84057
ev_sev_1.40,1,telem,62.55,56.35,0.6362,1802.0,84057
ev_sev_1.40,2,tariff,75.14,81.73,0.355,1497.0,84207
ev_sev_1.40,2,glm,62.51,55.21,0.6362,1799.0,84207
ev_sev_1.40,2,telem,62.57,55.08,0.6362,1798.0,84207
