scenario,seed,regime,lr,retained_lr,rho,avg_prem,rows
tpo_heavy,0,tariff,82.68,95.85,0.2812,1257.0,84964
tpo_heavy,0,glm,61.62,53.92,0.6029,1687.0,84964
tpo_heavy,0,telem,61.71,54.42,0.6029,1685.0,84964
tpo_heavy,1,tariff,85.66,98.4,0.2835,1255.0,84907
tpo_heavy,1,glm,63.03,53.78,0.6056,1706.0,84907
tpo_heavy,1,telem,63.1,54.07,0.6056,1704.0,84907
tpo_heavy,2,tariff,87.14,99.13,0.2843,1258.0,84761
tpo_heavy,2,glm,64.18,54.92,0.6052,1708.0,84761
tpo_heavy,2,telem,64.25,54.94,0.6052,1706.0,84761
ev_only,0,tariff,70.36,74.32,0.3527,2145.0,84206
ev_only,0,glm,63.32,58.52,0.6477,2384.0,84206
ev_only,0,telem,63.41,58.04,0.6477,2380.0,84206
ev_only,1,tariff,70.48,75.74,0.3612,2136.0,83941
ev_only,1,glm,63.36,60.19,0.6478,2377.0,83941
ev_only,1,telem,63.46,60.16,0.6478,2373.0,83941
ev_only,2,tariff,72.99,76.89,0.3574,2148.0,83847
ev_only,2,glm,65.4,61.82,0.6507,2398.0,83847
ev_only,2,telem,65.49,61.68,0.6508,2394.0,83847
ev_only_tpo_heavy,0,tariff,76.8,86.87,0.2795,1784.0,84795
ev_only_tpo_heavy,0,glm,65.7,60.58,0.6129,2086.0,84795
ev_only_tpo_heavy,0,telem,66.08,61.05,0.6129,2074.0,84795
ev_only_tpo_heavy,1,tariff,76.44,84.85,0.2874,1776.0,84764
ev_only_tpo_heavy,1,glm,64.42,62.85,0.6145,2108.0,84764
ev_only_tpo_heavy,1,telem,64.78,63.13,0.6145,2096.0,84764
ev_only_tpo_heavy,2,tariff,78.09,87.53,0.2817,1789.0,84519
ev_only_tpo_heavy,2,glm,66.15,62.86,0.6155,2111.0,84519
ev_only_tpo_heavy,2,telem,66.54,63.68,0.6155,2099.0,84519
