scenario,seed,regime,lr,retained_lr,rho,avg_prem,rows
base,0,tariff,75.29,82.22,0.3562,1505.0,84344
base,0,glm,63.51,57.66,0.6386,1784.0,84344
base,0,telem,63.55,57.37,0.6386,1783.0,84344
base,1,tariff,74.16,79.37,0.3577,1497.0,84057
base,1,glm,62.57,56.87,0.6362,1774.0,84057
base,1,telem,62.6,56.86,0.6362,1773.0,84057
base,2,tariff,74.04,81.06,0.355,1497.0,84207
base,2,glm,62.59,55.24,0.6362,1771.0,84207
base,2,telem,62.64,54.89,0.6362,1769.0,84207
freq_x1.22,0,tariff,89.19,99.09,0.381,1545.0,83375
freq_x1.22,0,glm,60.98,58.27,0.6811,2260.0,83375
freq_x1.22,0,telem,60.99,58.5,0.6811,2260.0,83375
freq_x1.22,1,tariff,89.03,97.01,0.3841,1533.0,82966
freq_x1.22,1,glm,60.32,57.79,0.6824,2263.0,82966
freq_x1.22,1,telem,60.33,57.69,0.6824,2262.0,82966
freq_x1.22,2,tariff,91.84,100.95,0.3827,1540.0,82908
freq_x1.22,2,glm,61.82,58.2,0.6853,2288.0,82908
freq_x1.22,2,telem,61.82,58.29,0.6854,2288.0,82908
freq_x1.49,0,tariff,108.23,119.66,0.4026,1590.0,81776
freq_x1.49,0,glm,59.48,57.97,0.7274,2893.0,81776
freq_x1.49,0,telem,59.53,58.46,0.7274,2891.0,81776
freq_x1.49,1,tariff,106.7,119.23,0.4016,1578.0,81793
freq_x1.49,1,glm,58.42,57.86,0.7271,2882.0,81793
freq_x1.49,1,telem,58.48,58.32,0.7271,2879.0,81793
freq_x1.49,2,tariff,105.79,116.96,0.4011,1591.0,81781
freq_x1.49,2,glm,57.53,55.27,0.7303,2926.0,81781
freq_x1.49,2,telem,57.59,55.41,0.7304,2923.0,81781
sev_x1.20,0,tariff,90.09,98.31,0.3562,1505.0,84344
sev_x1.20,0,glm,63.53,57.65,0.6386,2135.0,84344
sev_x1.20,0,telem,63.57,57.23,0.6386,2133.0,84344
sev_x1.20,1,tariff,88.64,94.82,0.3577,1497.0,84057
sev_x1.20,1,glm,62.51,56.85,0.6362,2122.0,84057
sev_x1.20,1,telem,62.54,56.91,0.6362,2121.0,84057
sev_x1.20,2,tariff,88.51,96.81,0.355,1497.0,84207
sev_x1.20,2,glm,62.55,55.2,0.6362,2119.0,84207
sev_x1.20,2,telem,62.6,54.89,0.6362,2117.0,84207
sev_x1.35,0,tariff,101.09,110.25,0.3562,1505.0,84344
sev_x1.35,0,glm,63.56,57.6,0.6386,2394.0,84344
sev_x1.35,0,telem,63.6,57.23,0.6386,2393.0,84344
sev_x1.35,1,tariff,99.36,106.23,0.3577,1497.0,84057
sev_x1.35,1,glm,62.48,56.89,0.6362,2380.0,84057
sev_x1.35,1,telem,62.51,56.95,0.6362,2379.0,84057
sev_x1.35,2,tariff,99.26,108.49,0.355,1497.0,84207
sev_x1.35,2,glm,62.54,55.2,0.6362,2376.0,84207
sev_x1.35,2,telem,62.59,54.94,0.6362,2374.0,84207
ev_sev_1.40,0,tariff,76.35,82.89,0.3562,1505.0,84344
ev_sev_1.40,0,glm,63.43,57.91,0.6386,1812.0,84344
ev_sev_1.40,0,telem,63.47,57.67,0.6386,1811.0,84344
ev_sev_1.40,1,tariff,75.31,80.16,0.3577,1497.0,84057
ev_sev_1.40,1,glm,62.51,56.41,0.6362,1803.0,84057
ev_sev_1.40,1,telem,62.55,56.35,0.6362,1802.0,84057
ev_sev_1.40,2,tariff,75.14,81.73,0.355,1497.0,84207
ev_sev_1.40,2,glm,62.51,55.21,0.6362,1799.0,84207
ev_sev_1.40,2,telem,62.57,55.08,0.6362,1798.0,84207
tpo_heavy,0,tariff,82.68,95.85,0.2812,1257.0,84964
tpo_heavy,0,glm,61.62,53.92,0.6029,1687.0,84964
tpo_heavy,0,telem,61.71,54.42,0.6029,1685.0,84964
tpo_heavy,1,tariff,85.66,98.4,0.2835,1255.0,84907
tpo_heavy,1,glm,63.03,53.78,0.6056,1706.0,84907
tpo_heavy,1,telem,63.1,54.07,0.6056,1704.0,84907
tpo_heavy,2,tariff,87.14,99.13,0.2843,1258.0,84761
tpo_heavy,2,glm,64.18,54.92,0.6052,1708.0,84761
tpo_heavy,2,telem,64.25,54.94,0.6052,1706.0,84761
ev_only,0,tariff,70.36,74.32,0.3527,2145.0,84206
ev_only,0,glm,63.32,58.52,0.6477,2384.0,84206
ev_only,0,telem,63.41,58.04,0.6477,2380.0,84206
ev_only,1,tariff,70.48,75.74,0.3612,2136.0,83941
ev_only,1,glm,63.36,60.19,0.6478,2377.0,83941
ev_only,1,telem,63.46,60.16,0.6478,2373.0,83941
ev_only,2,tariff,72.99,76.89,0.3574,2148.0,83847
ev_only,2,glm,65.4,61.82,0.6507,2398.0,83847
ev_only,2,telem,65.49,61.68,0.6508,2394.0,83847
ev_only_tpo_heavy,0,tariff,76.8,86.87,0.2795,1784.0,84795
ev_only_tpo_heavy,0,glm,65.7,60.58,0.6129,2086.0,84795
